titulo;subtitulo
 La reutilización del agua es clave como fuente alternativa para la sostenibilidad del planeta; Con motivo del Día Mundial del Agua, que se celebra cada 22 de marzo, se pretende sensibilizar a la población de la importancia de conservar y proteger este recurso fundamental para la vida y el desarrollo de la sociedad. El lema de este año es 'Agua para la paz', y tiene como objetivo promover la... 
 La ciencia se cuela en la conversación cotidiana del 41% de los españoles; Según el Estudio de Cultura Científica 2024 de la FBBVA, el interés por estos temas alcanza un 5,9 sobre 10, en la media europea, y ligeramente por debajo de EEUU 
 El cambio climático arrastra a Andalucía a un escenario de más días de calor infernal, menos lluvia y más noches tropicales; El Mapa del Clima, una herramienta habilitada por la Junta, permite hacer proyección de temperaturas y pluviometría hasta el año 2100 
 Victoria mínima del centroderecha en las elecciones de Portugal; La derecha dura de Chega cuadriplica su número de escaños, pasando de 12 a 48 
 Elecnor, sobresaliente en sostenibilidad; La multinacional española consolida por cuarto año consecutivo la calificación A- en el ranking mundial CDP gracias a su compromiso con el medio ambiente y la descarbonización. 
" Catalá frena a Vox por sus polémicos actos contra el 8M: ""Lo que no quieran hacer por la Igualdad, lo hará la alcaldesa"""; La líder del PP reconoce diferencias con sus socios y saca adelante con sus votos en contra la adhesión al manifiesto de la Federación de Municipios y Provincias 
" Adela Lestón, mariscadora: ""El verano pasado hubo días que la salinidad era cero y el marisco aparecía muerto"""; Esa gallega de 52 años vive pendiente del mar, al que el cambio climático está afectando drásticamente. El restaurante El Señor Martín y la fotógrafa Cris Romero se unen para dar voz a este colectivo 
" El gurú del optimismo racional: ""En los próximos años se va a mejorar la vida de los seres humanos de forma espectacular"""; Matt Ridley, vizconde, ex banquero y ex político está volcado ahora en la divulgación, con la premisa de que los avances científicos siempre benefician a la mayoría social. 'En este mundo es demasiado fácil ganar dinero y fama asustando a la gente', dice 
 La Generalitat declara la fase 2 de emergencia por sequía en 12 municipios de la provincia de Girona; Poblaciones como Figueres (48.000 habitantes) tendrán las restricciones más severas de la región, como un consumo máximo de 180 litros de agua diarios por persona 
 Sánchez busca que la sintonía con Lula permita a las empresas españolas participar en el reparto de 300.000 millones; Moncloa quiere superar la época de Bolsonaro e intensificar la relación 'existiendo una oportunidad para ensanchar los lazos económicos' con Brasil 
 China referente en la protección del medioambiente, el control de los desastres naturales y el Festival de Hielo y Nieve; China está demostrando su compromiso con el medioambiente. La mayor compañía energética del país está poniendo en marcha iniciativas que buscan el equilibrio entre el desarrollo económico y la conservación de la naturaleza. Además, se posiciona como referente en la gestión de desastres naturales... 
 El Polo Norte podría quedarse sin hielo a partir de septiembre de 2035; Los científicos adelantan una década sus previsiones para el Ártico si se mantienen las actuales condiciones de calentamiento global 
" El peligro que amenaza a las lujosas mansiones de los acantilados de California: ""Muchas casas multimillonarias caerán al océano"""; Kathleen Treseder, profesora de cambio climático de la Universidad de California en Irvine, asegura que muchas propiedades están en riesgo 
 Los países más peligrosos del mundo (y los más seguros) para viajar en 2024; De Afganistán a Rusia, conocemos cuáles son los estados menos recomendables para visitar durante los próximos meses. También aquellos en los que el riesgo es prácticamente cero. 
" El Gobierno reformula el reglamento de Costas para ejecutar los deslindes tras el varapalo del Supremo: ""Cada vez es más oscuro"""; Los afectados, que pueden perder sus casas en primera línea de playa, amenazan con 'miles de alegaciones' mientras advierten del limbo jurídico 
" ""La transición hacia la energía renovable es imperativa para reducir las emisiones, pero también ofrece oportunidades económicas"""; Entrevistamos a Vera Pinto Pereira, administradora ejecutiva de EDP, con motivo del EDP Business Summit 2024. 
 La paradoja renovable de España: cuanta más energía 'verde' tenga el país, más se verá afectada por el cambio climático; Las altas temperaturas, la sequía o el cambio en la dirección del viento afectan a la producción de las fuentes no contaminantes. Para 2030, eólica y fotovoltaica superarán el 55% del parque de generación nacional 
 Así se forma la nueva generación del hidrógeno verde; Los mayores productores de hidrógeno verde demandan a las administraciones planes acelerados de formación para evitar que se produzca un «cuello de botella» en la contratación de profesionales cualificados en el sector 
" ""Hay microplásticos tan pequeños que pueden ser ingeridos por una bacteria"""; Este investigador del Centro Vasco de Cambio Climático (BC3) estudia el impacto del plástico en los ecosistemas y en los seres vivos: 'Todos los pellets son potencialmente tóxicos, decir que no lo son es mentira', asegura 
" Roberta Metsola advierte en el Foro Internacional de EL MUNDO: ""La agresión de Rusia representa una amenaza existencial para nuestra Unión"""; La presidenta del Parlamento Europeo, Roberta Metsola, ha advertido este viernes que Rusia 'representa una amenaza existencial para nuestra Unión, para nuestros valores y para nuestra libertad'. En la inauguración del Foro Internacional de EL MUNDO Europa, un año decisivo, que este periódico... 
" Partha Dasgupta, premio BBVA 'Fronteras del Conocimiento: ""La naturaleza es parte de la economía: es hora ya de asumirlo"""; El economista británico, galardonado por su trabajos pioneros sobre «la intersección entre la vida económica y el medio ambiente» 
" Premio a la española que persigue a los virus olvidados: ""Hay que estar preparados, no podemos esperar a que los brotes se expandan para actuar"""; La viróloga extremeña afincada en Nueva York recoge mañana el Premio ACE-Margarita Salas en Estocolmo. Este prestigioso reconocimiento subraya una carrera que guarda similitudes con la científica española. 'Como ella, me separé profesionalmente de mi pareja para tener una carrera propia' 
" Este antiguo jefazo de Google no teme a la IA y sabe lo que es la felicidad: ""Tras perder a mi hijo, la fama, el dinero y el éxito, nunca he sido más feliz"""; El antiguo directivo de Google X cree que estamos a tiempo de orientar la IA hacia el bien. En 'La inteligencia que asusta', su nuevo ensayo, la educación emerge como la clave de un futuro en armonía junto a las máquinas 
 El deshielo en el Atlántico Norte puede causar olas de calor en verano en Europa; Con el aumento del derretimiento del hielo, el estudio sugiere que las olas de calor y las sequías en Europa serán más intensas en el futuro 
" La conexión Ábalos-Sánchez: ""pata fuerte"" desde el primer acto de la resurrección"; En julio de 2021 el ex ministro pasó de máxima autoridad en Ferraz a diputado raso y desapareció del entorno del presidente del Gobierno 
" Los agricultores recelan del Gobierno y amenazan con más movilizaciones: ""Queremos medidas concretas o esto no habrá hecho más que empezar"""; Tras el 'éxito rotundo' de la manifestación en Madrid, las organizaciones agrarias exigen a Planas avances 'ya cerrados' 
 Descubren cuándo comenzó el deshielo del Thwaites, el glaciar del fin del mundo; El glaciar Thwaites, el más ancho del mundo, comenzó a perder hielo de forma signiticativa en los años 40, la misma década que el Isla Pine, el que más rápido se derrite: 'Una vez que el sistema se desequilibra, el retroceso continúa' 
 Huelga de agricultores en Madrid: por qué protestan, qué piden y hasta cuándo dura; La huelga regresa a las calles del centro de Madrid hoy, lunes 26 de febrero, con una tractorada para demandar soluciones a los problemas del sector 
" Koldo y Aldama se ofrecían como 'conseguidores' a las empresas reguladas necesitadas de ""mejor trato del Ministerio"""; 'Ábalos dejaba claro el poder de Koldo y éste nos decía después que Aldama nos podía ayudar a tener mejor trato', afirma un empresario afectado 
 Sierra Nevada se queda sin 'nombre' en su 25 aniversario: la nieve pasa de 343 centímetros a 60; El Observatorio de Cambio Global constata que las lluvias han caído un 67% en diez años, y de sus 111 kilómetros esquiables el año pasado se usaron 45,2 
 Especies olvidadas, arenales marrones y secarrales sin acabar: así serán los parques en la era de las 'supersequías'; El miedo al desastre medioambiental ha cambiado la idea de lo bello-natural: del jardín perfecto pasamos al parque-huerto y a la naturaleza espontánea. 'Todos nos estamos acostumbrando a paisajes más marrones y menos verdes' 
 El Parlament pide que la Generalitat permita llenar las piscinas de los hoteles con agua de mar por la sequía y no prohíba las duchas en los gimnasios; La oposición reprocha al Govern de Pere Aragonès 'mala gestión, inacción y falta de previsión' 
" Biden llama a Putin ""loco hijo de perra"" durante una recaudación de fondos"; El presidente de EEUU también dijo que quedó conmocionado por los recientes comentarios de Trump en los que se compara con el fallecido Navalny 
 Anna Cornudella vuelve a colocar el cine español en el foco de la Berlinale; The Human Hibernation destaca en la sección Forum como uno de los trabajos más originales, brillantes y difíciles de clasificar 
 Un satélite de más de dos toneladas caerá sin control en algún punto de la Tierra esta tarde; La Agencia Espacial Europea cree que algunos fragmentos de hasta 53 kilos podrían sobrevivir a la reentrada en la atmósfera del ERS-2 
 Huelga de agricultores en Madrid: por qué protestan, qué piden y hasta cuándo dura; La huelga llega a Madrid este 21 de febrero con una tractorada frente a las puertas del Ministerio de Agricultura 
 Los gigantes de la construcción española consolidan su posición como referentes internacionales; Pese al ligero repunte de la inversión en suelo nacional a casusa de la llegada de los fondos Next Generation, las grandes empresas siguen enfocadas en la expansión de su negocio en el extranjero. 
 La silenciosa revolución tecnológica del campo español; Las empresas agrotech potencian la implantación del 'smart farming'. Las explotaciones agrícolas y sus procesos se automatizan para cumplir con las nuevas normas y para avanzar en eficiencia. 
" Wayne Griffiths (Anfac): ""El Gobierno no está respondiendo a nuestras expectativas sobre el coche eléctrico"""; La cuota de automóviles con enchufe en nuestro país está 10 puntos por debajo de la europea, recuerda el directivo, también CEO de Seat y Cupra. El Gobierno solo ha anunciado que cambiará el Moves III, sin dar más detalles. 
 La sequía muestra la soledad del Govern de Pere Aragonès en el Parlamento catalán; La oposición da la espalda a las políticas de la Generalitat contra la escasez de agua en el pleno monográfico de la Cámara autonómica 
" Lluvia de críticas a Yolanda Díaz en el Congreso por la reducción de jornada: ""Es pura propaganda"""; La oposición pide que no se lleve a cabo esa medida de forma generalizada para todas las empresas y trabajadores, y que el Gobierno no sea 'intervencionista' 
 Siete vinos biodinámicos para adentrarse en la viticultura del sentir; Aunque para muchos siga siendo 'cosa de hippies', algunos de los mejores vinos del mundo son biodinámicos. Descubrimos los entresijos de esta práctica (que es menos novedosa de lo que parece) a partir de algunos de sus principales representantes. 
 El Gobierno mejorará el plan de ayudas al coche eléctrico después de las quejas del sector; La cuota de vehículos con enchufe en España es de solo el 12%, 10 puntos por debajo de la media europea 
 'Brusselsland': el parque temático de espías, narcos, yihadistas y dinosaurios; Todos los ataques importantes en Europa han pasado de una forma u otra por Molenbeek 
 Business Summit 2024: La transición energética no puede esperar, pero... ¿es posible acelerarla?; La tercera edición del EDP Business Summit se celebrará el próximo 7 de marzo con un objetivo claro: estudiar cómo pueden contribuir las utilities, el resto de empresas y la sociedad en su conjunto a acelerar la transición energética. Todo ello con el fin de construir un futuro más limpio y... 
" Rhett A. Butler, fundador de Mongabay: ""Pese a las predicciones climáticas sombrías hay esperanza"""; Su portal logra el V premio Biophilia de Comunicación Ambiental de la Fundación BBVA por su contribución a la conservación de la naturaleza a lo largo de los últimos 25 años 
 Cuándo son las elecciones europeas 2024; Los ciudadanos de la Unión Europea podrán votar en las elecciones al Parlamento Europeo en el mes de junio 
" Gael García Bernal: ""España tiene que aprender a reconocerse mestiza"""; El actor mexicano reflexiona en Berlín sobre el amor romántico, el compromiso político y hasta la descolonización con motivo de Another end una fábula sobre la eternidad, el duelo y la memoria 
" El empresario que trajo la filosofía del altruismo eficaz a España: ""La gente dona su dinero de forma emocional, con el corazón, y eso es un error"""; Experto en marketing digital, Pablo Melchor abandonó su trabajo hace cinco años para poner en marcha en España la Fundación Ayuda Efectiva, inspirada en la controvertida filantropía que triunfa en Silicon Valley 
 China levantará el embargo a la carne de ternera de origen español; España analiza con China el estado de sus relaciones y destaca la interlocución 'sólida' entre ambos países 
 Los agricultores italianos le regalan un tractor al Papa y llevan una vaca al Vaticano; También le han regalado a Francisco harina, la imagen de un Cristo encontrado en un campo mientras un agricultor araba y una campana utilizada para llamar a los animales 
" ""La Ley de la Vivienda se hizo para captar votos, no para abaratarla. El PSOE sabía que era contraproducente"""; Este experto inmobiliario español analiza desde la multinacional Colliers las oportunidades del mercado y la política fallida del Gobierno en vivienda. 
" Dentro del altruismo eficaz, el delirio millonario de la nueva filantropía: ""La esencia es ganar mucho dinero para poder donar más y no mirar el daño que creas mientras tanto"""; Sus seguidores defienden aplicar las matemáticas a la solidaridad para salvar cuantas más vidas mejor. Esta teoría salida de la Universidad de Oxford se ha desvirtuado al caer en manos de los gurús de Silicon Valley. Ahora llega a España. 
 Viajes de bienestar, la cura para el estrés y la ansiedad; Retiros urbanos, escapadas de surf y yoga, meditación en solitario, comer del huerto frente a la habitación, spa incluido, huir de la masificación... Según el Global Wellness Institute, se espera que este tipo de experiencias 'slow travel' crezca un 21% 
" Un centenar de ex líderes mundiales reclaman ""audacia"" ante la crisis climática y la IA"; Hablan de año crítico, en el que más de 2.000 millones de ciudadanos acudirán a las urnas en Estados Unidos, India, la UE y el Reino Unido 
" Eva Lizama, 'agro-millennial', en plena crisis de los tractores: ""Somos menos culpables del cambio climático que los que cogen un avión para dos días"""; Las movilizaciones del sector agrario se extienden por toda España. Agricultores y ganaderos claman contra la excesiva regulación medioambiental, la burocratización o la competencia desleal con respecto a terceros países. Hablamos con una mujer recién llegada de una protesta en Zaragoza. Ella... 
 ¿Tendrá la agricultura que competir con el hidrógeno verde por el uso del agua regenerada?; Un informe realizado para la empresa FACSA apunta a la necesidad de unificar las tarifas, acercarlas al coste real del recurso y acometer un plan general de inversiones para garantizar el suministro a todos los sectores 
" El pabellón descolonizador de España en la Bienal de Venecia: ""Ojalá despierte polémica"""; La artista peruana explora el colonialismo y la extranjería en el proyecto que representará a España en la Biennale di Venezia 
 Un concejal de Vox torpedea la Capitalidad Verde de Valencia con un discurso negacionista en una conferencia sobre sobre el cambio climático; El edil,q ue forma parte del Gobierno de María José Català, habla de 'alarmismo' y 'religión climática' y varios asistentes abandonan el auditorio. 'Es una vergüenza', asegura la oposición 
" Sánchez pide ""solidaridad"" a las regiones frente a la sequía y reaviva la guerra del agua entre Mazón y Page por el trasvase"; Castilla-La Mancha asegura que 'el Levante no puede gastar tanta agua' mientras el presidente valenciano califica de 'parche' el agua desalada por la que aboga el Gobierno 
 Programa electoral del PP en las elecciones de Galicia; El PP de Galicia, que lidera Alfonso Rueda, presenta su hoja de ruta con 870 medidas para los próximos cuatro años 
 Programa electoral del PP en las elecciones de Galicia; El PP de Galicia, que lidera Alfonso Rueda, presenta su hoja de ruta con 870 medidas para los próximos cuatro años 
" Cayetano Martínez de Irujo, aristócrata y agricultor: ""De mí dependen 40 familias, y no tengo para pagar sus nóminas"""; El duque de Arjona habló sin tapujos en 13TV, animando a Yolanda Díaz y José Luis Ábalos a que creen una empresa 'aunque sea pequeña. No saben la responsabilidad ni los gasto que eso conlleva, que no tienes ni para salir a cenar. Sólo hablan, y todo es mentira'. 
 El Ayuntamiento pide geolocalizar el móvil del presunto pirómano de El Saler entre críticas por la falta de protección; Compromís y PSPV denuncian la escasa presencia policial en la zona tras un nuevo incendio 
 No es planeta para osos polares: un investigación confirma que no sobrevivirán a largos veranos sin hielo; Los científicos llegaron a especular con que se adaptarían a un Ártico derretido: 'No son osos pardos con batas blancas' 
 El plan 'secreto' para resucitar Las Tablas de Daimiel: los humedales artificiales y un presupuesto de 250 millones que debe salir de Bruselas; Aún queda mucho por hacer pero se ha abierto una ventana de esperanza con un proyecto que puede hacerlo viable: un acuerdo entre el Gobierno y Page 
 El CIS de Tezanos da ventaja a la izquierda en toda España pese al repunte del PP; El sondeo indica que se podría revalidar el Gobierno de coalición: PSOE y Sumar juntos acapararían el 43,2% de los votos frente a PP y Vox, que aglutinarían el 41,1% 
" Desconcierto en el sector agrario ante la deriva de las manifestaciones: ""Ya no se sabe ni quién es quién ni que pide cada uno"""; Crece la oposición entre los agricultores ante las acciones de la plataforma 6F 
" Xóchitl Gálvez, candidata a la Presidencia mexicana: ""El modelo Bukele no puede aplicarse a México"""; Esta opositora combatirá contra la oficialista Claudia Sheinbaum por ser la primer mujer presidenta de la historia del país azteca el próximo 2 de junio 
 El 'glamping' madrileño con cabañas en los árboles que se ha convertido en un ejemplo pionero de cómo cuidar el bosque; Visitamos el primer proyecto de turismo regenerativo de la Comunidad de Madrid, un idílico 'glamping' con 'ecolodges' y cabañas en los árboles enclavado en el valle del Lozoya. 
 Huelga de agricultores en España: por qué protestan, qué piden y hasta cuándo dura; Agricultores y ganaderos españoles reclaman un plan de choque que recoja medidas tanto a nivel de UE, como de gobierno de España y de las Comunidades Autónomas 
" Las ciudades europeas plantan cara al boom de los vehículos SUV: ""Es muy sensato pasar factura por tener estos monstruos en nuestras calles"""; Los coches han 'engordado' una media de 250 kilos en las tres últimas décadas. Después de que París aprobara el fin de semana triplicar la tasa de aparcamiento para los SUV, otras ciudades se plantean medidas para reducir su uso 
" El instituto público de Pontevedra que tiene más nivel en Ciencias que las escuelas asiáticas: ""No se trata de llenar las aulas de aparatos"""; El IES Sánchez Cantón saca 550 puntos en PISA, la nota más alta de Galicia. La región encabeza la clasificación española 
 Así consiguieron los actores de La Sociedad de la Nieve adelgazar hasta 30 kilos durante el rodaje; Los médicos Antonio Escribano padre e hijo son los responsables de que 30 actores fueran adaptando, cronológicamente, su composición corporal y peso al que experimentaron de las víctimas del accidente de Los Andes 
 Enero de 2024 batió el récord de calor para ese mes en todo el mundo; La temperatura media global del aire en superficie fue de 13,14 °C, lo que supone 0,70 °C por encima de la media, según el boletín mundial de Copernicus. En España, los datos de Aemet también sitúan a enero de 2024 como el más caluroso desde 1961 
 ¿Es Europa demasiado optimista con sus metas climáticas? Ni las políticas actuales ni las prometidas garantizan los objetivos; Un informe de Vinci Energies y Esade revela la desconexión que existe entre las promesas actuales y lo que se necesita para recortar el CO2 emisiones enel calentamiento del planeta a 1,5 grados 
 La bailarina que con su danza conciencia sobre el cambio climático; Tras una estancia en EEUU, Raquel Santiago realiza también en el Monte Abantos talleres para ayudar a las personas con ecoansiedad 
" Sarah Morgenthau: ""Nos preocupa que el Gobierno español contrate a empresas chinas que no son de confianza"""; La enviada de Biden para asuntos comerciales advierte sobre que Nuctech sea contratada en los puertos del Estado español, 'por seguridad nacional' 
 Metano y metanol: qué son y diferencias entre ambos; Sus estructuras en forma de gas y de alcohol en muchas ocasiones se confunden, pero su naturaleza es distinta 
 Las alergias ya están aquí por culpa de la falta de lluvias y el buen tiempo; Las consecuencias de disfrutar de las altas temperaturas en pleno invierno hacen mella en el organismo. Los sensibles a pólenes como el ciprés y la arizónica se 'enganchan' un mes a los antihistamínicos 
 La Comisión Europea redobla la apuesta ante las dudas sobre la transición verde: quiere que las emisiones se reduzcan un 90% en 2040; La propuesta legislativa llegará en la próxima legislatura, pero quiere implicar a diputados y gobiernos nacionales en la lucha contra la descarbonización y la dependencia de fósiles 
" Bruselas retira la regulación de reducción de pesticidas para aplacar la ira del campo: ""Se ha convertido en símbolo de polarización"""; La Comisión pedirá este martes sin embargo aumentar la ambición y fijar en el 90% la reducción de emisiones de gases de efecto invernadero para 2040 para lograr la neutralidad a mitad de siglo 
" Ribera apunta ahora a los grandes bancos: ""El sector financiero debe reflexionar para no verse atrapado en inversiones llenas de CO2"""; El Ministerio para la Transición Ecológica está elaborando un libro sobre finanzas sostenibles que pretende marcar la senda verde al capital 
 Récord de ataques de tiburón: los expertos advierten que habrá más este verano; El número de víctimas mortales duplica la media, y los científicos apuntan al cambio climático y al aumento de bañistas: 'Da mucho miedo, pero la realidad es que estás poniendo a mucha más gente de cebo' 
 Todo lo que engloba la movilidad sostenible en la Asistencia en Carretera; Desde las grúas electrificadas, hasta los puntos de recarga en los hogares, o los seguros de los vehículos compartidos. El sector del automóvil se encuentra en pleno proceso de transformación y todos los actores deben estar preparados para reducir las emisiones a la mitad en 2030. 
" Guerra contra el 'ecopostureo' que te engaña para que compres: ""La mitad de los reclamos medioambientales son falsos"""; Bio, eco estamos rodeados de todo tipo de etiquetas verdes que, en algunos casos, las empresas utilizan como reclamo comercial 
" Stephanie Hemsley, de vestir a Lady Gaga a elegir la ropa que usarán millonarios en un búnker de ultralujo: ""La ropa debe crear sensación de normalidad"""; Imagina que eres millonaria, nivel Zuckerberg, y, por si al Apocalipsis le da por llegar, decides construirte un búnker de superlujo. En él, todo estará medido hasta el último detalle. La ropa también. Esa ha sido la misión de la estilista Stephanie Hemsley -ha trabajado con Lady Gaga, entre otras- ... 
 La semana geoeconómica: De la brutal supremacía tecnológica de EEUU a la pesadilla financiera nuclear en Reino Unido; Análisis de las tendencias mundiales que, tarde o temprano, afectarán a su bolsillo. 
 Los influencers rurales que protegen el granero de China; Los 'streamers rurales', granjeros y agricultores transformados en influencers con millones de seguidores, tratan de concienciar sobre el impacto de las últimas sacudidas del clima extremo en el campo chino y han creado canales de comercio electrónico donde venden bien sus productos 
 Por qué los agricultores franceses atacan a los españoles y otras claves para entender el conflicto del campo galo; Los expertos concluyen que la polémica es una 'cortina de humo' ante el aumento de las exportaciones patrias 
 Las elecciones de Taylor Swift: ¿Trump o Biden?; La posibilidad de que la cantante haga campaña en favor del candidato y presidente demócrata preocupa a los seguidores del magnate 
 Un juez británico absuelve a Greta Thunberg, detenida con otros activistas en una protesta en 2023; 'El veredicto es un triunfo del derecho a manifestarse', declara una portavoz de Greenpeace 
 xxxxxxxxxx; El común de los mortales casi nos habíamos olvidado de ellos cuando un vídeo de Mark Zuckerberg, el dueño de Meta, dentro de la sala de cine de su búnker en Hawaii, se hizo viral. Después vimos la película 'Dejar el mundo atrás' en Netflix (con los Obama como productores ejecutivos) y... 
 Los científicos de Doñana lanzan un SOS: sequía, altas temperaturas y caídas drásticas en el censo de especies; La Estación Biológica de Doñana presenta su informe anual con los 'peores' resultados de los últimos años 
" Hannah Ritchie, la científica del clima que combate el catastrofismo y la desinformación: ""El mundo no está en ebullición"""; Desde un optimismo crítico y recién cumplidos los 30 años, esta científica de datos de la Universidad de Oxford publica 'No es el fin del mundo', un libro inspirador en el que argumenta que es posible limitar los efectos del cambio climático y adaptarnos 
 Los mexicanos Gerardo Ceballos y Rodolfo Dirzo ganan el Premio Fronteras FBBVA por revelar la magnitud de la Sexta Gran Extinción; Ceballos ha centrado su investigación en el estudio de la fauna y la magnitud de las extinciones de especies, mientras que Dirzo se especializó en las interacciones ecológicas entre plantas y animales. 
" Por qué los niños ya no saben ganar en la era de la chulería: ""Imitan lo que hacen sus ídolos, ya sean deportistas o raperos"""; Tras años enseñando a los niños a lidiar con la frustración, llega el problema contrario: ¿cómo ganar con elegancia? El ejemplo negativo de sus ídolos, como músicos o deportistas, complica la misión: 'Cada vez es más difícil que los niños sean respetuosos con el rival cuando ganan 8-0' 
 La marcha atrás medioambiental de Reino Unido desde el Brexit; Del uso de pesticidas a la contaminación, Reino Unido se ha quedado a la zaga de la UE en una decena de aspectos vitales vinculados al medio ambiente 
" Proteger el entorno natural está en nuestras manos"; Las empresas centran cada vez más sus compromisos en la preservación del medio ambiente para contrarrestar el cambio climático y cuidar de la biodiversidad 
